id,RCS,nearestPass
2802,4.3558,811395.9375
2877,0.7371,3968499.75
5531,0.0141,784930.375
16457,5.5277,1648626.5
25619,10.2540,2444605.25
31664,0.0041,931653.375
35487,0.0020,735616.125
38220,0.0146,811393.75
21986,0.0016,898315.25
34413,0.0106,770855.625
1433,0.5702,694485.8125
3494,0.0722,713203.125
5149,0.0451,913313.5625
10832,0.0923,1533669.25
18806,0.0350,1590223.0
1682,0.3890,656854.125
22806,0.0904,976116.5625
31755,0.0112,836276.875
3510,0.5891,810740.625
36122,0.3075,1264057.125
34387,0.0152,781563.125
